"","SAMPLE_NUMBER","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","REPLICATE_COUNT"
"43",9442272,"MOIS211099","Moisture","PCT_M-M",52.803106065,1
"44",9443029,"MOIS040493","Moisture","PCT_M-M",45.774399436,1
"45",9443053,"MOIS040493","Moisture","PCT_M-M",45.889458148,1
"46",9443057,"MOIS040493","Moisture","PCT_M-M",47.108013937,1
"47",9443066,"MOIS040493","Moisture","PCT_M-M",46.146406537,1
"48",9443247,"MOIS211099","Moisture","PCT_M-M",76.271078789,1
"49",9444295,"MOIS211099","Moisture","PCT_M-M",52.146103896,2
"50",9444295,"MOIS211099","Moisture","PCT_M-M",52.008408053,3
"51",9444295,"MOIS211099","Moisture","PCT_M-M",52.697334506,1
"52",9444464,"MOIS040493","Moisture","PCT_M-M",35.038877174,1
"53",9444465,"MOIS040493","Moisture","PCT_M-M",35.1880725,1
"54",9444514,"MOIS040493","Moisture","PCT_M-M",35.534936313,1
"55",9444516,"MOIS040493","Moisture","PCT_M-M",33.564479752,1
"56",9444522,"MOIS040493","Moisture","PCT_M-M",35.856645065,1
"57",9444728,"MOIS211099","Moisture","G_P_100G",48.091221285,1
"58",9445351,"MOIS211099","Moisture","PCT_M-M",50.357429182,1
"59",9445351,"MOIS211099","Moisture","PCT_M-M",50.271560885,2
"60",9445352,"MOIS211099","Moisture","PCT_M-M",46.458518613,1
"61",9445352,"MOIS211099","Moisture","PCT_M-M",46.302849125,2
"62",9446092,"MOIS040493","Moisture","PCT_M-M",46.851622975,1
"63",9446094,"MOIS040493","Moisture","PCT_M-M",46.446139117,1
"64",9446606,"MOIS211099","Moisture","PCT_M-M",76.63114363,1
"65",9446622,"MOIS211099","Moisture","PCT_M-M",52.694629031,1
"66",9446622,"MOIS211099","Moisture","PCT_M-M",52.570752058,2
"67",9446623,"MOIS211099","Moisture","PCT_M-M",48.049082216,1
"68",9446623,"MOIS211099","Moisture","PCT_M-M",48.09805579,2
"69",9446814,"MOIS211099","Moisture","PCT_M-M",43.945612331,1
"70",9447010,"MOIS211099","Moisture","PCT_M-M",43.644520402,1
"71",9447097,"MOIS211099","Moisture","G_P_100G",40.888969899,1
"72",9448006,"MOIS040493","Moisture","PCT_M-M",45.838278218,1
"73",9448006,"MOIS040493","Moisture","PCT_M-M",45.80515985,2
"74",9448013,"MOIS040493","Moisture","PCT_M-M",45.801652893,1
"75",9448013,"MOIS040493","Moisture","PCT_M-M",45.82195344,2
"76",9448050,"MOIS211099","Moisture","G_P_100G",48.314535346,1
"77",9448079,"MOIS040493","Moisture","PCT_M-M",34.007059137,1
"78",9448079,"MOIS040493","Moisture","PCT_M-M",33.988951012,2
"79",9448349,"MOIS080693","Moisture","G_P_100G",25.26918898,1
"80",9449583,"MOIS040493","Moisture","PCT_M-M",47.470443113,1
"81",9449586,"MOIS040493","Moisture","PCT_M-M",46.97801316,1
"82",9449593,"MOIS040493","Moisture","PCT_M-M",47.086546701,1
"83",9449595,"MOIS040493","Moisture","PCT_M-M",46.828035643,1
"84",9450530,"MOIS040493","Moisture","G_P_100G",40.180043527,1
"85",9450537,"MOIS040493","Moisture","G_P_100G",38.184494603,1
"86",9450542,"MOIS040493","Moisture","G_P_100G",38.694722999,1
"87",9450637,"MOIS040493","Moisture","G_P_100G",36.40870461,1
"88",9450644,"MOIS040493","Moisture","G_P_100G",38.636139994,1
"89",9450653,"MOIS040493","Moisture","G_P_100G",37.160308336,1
"90",9450823,"MOIS211099","Moisture","PCT_M-M",75.949983267,1
"91",9450845,"MOIS040493","Moisture","G_P_100G",34.612510154,1
"92",9450862,"MOIS040493","Moisture","G_P_100G",35.372075859,1
"93",9450871,"MOIS040493","Moisture","G_P_100G",36.597537265,1
"94",9450995,"MOIS211099","Moisture","G_P_100G",33.917562377,1
"95",9450996,"MOIS211099","Moisture","G_P_100G",35.474199148,1
"96",9450999,"MOIS211099","Moisture","G_P_100G",35.271279243,1
"97",9451053,"MOIS040493","Moisture","PCT_M-M",40.636548257,1
"98",9451054,"MOIS040493","Moisture","PCT_M-M",40.788331308,1
"99",9451055,"MOIS211099","Moisture","G_P_100G",38.240924203,1
"100",9451076,"MOIS211099","Moisture","G_P_100G",36.827668832,1
"101",9451080,"MOIS211099","Moisture","G_P_100G",39.023749302,1
"102",9451735,"MOIS040493","Moisture","PCT_M-M",45.552438985,1
"103",9451735,"MOIS040493","Moisture","PCT_M-M",45.511172632,2
"104",9451737,"MOIS040493","Moisture","PCT_M-M",45.449565158,1
"105",9451737,"MOIS040493","Moisture","PCT_M-M",45.395393783,2
"106",9451822,"MOIS040493","Moisture","PCT_M-M",47.124463519,1
"107",9451822,"MOIS040493","Moisture","PCT_M-M",47.08793665,2
"108",9451825,"MOIS040493","Moisture","PCT_M-M",35.010688473,1
"109",9451825,"MOIS040493","Moisture","PCT_M-M",34.949270871,2
"110",9451830,"MOIS211099","Moisture","PCT_M-M",42.824498729,1
"111",9451830,"MOIS211099","Moisture","PCT_M-M",42.63013013,2
"112",9451838,"MOIS211099","Moisture","PCT_M-M",50.774033255,1
"113",9451838,"MOIS211099","Moisture","PCT_M-M",50.687814549,2
"114",9453047,"MOIS211099","Moisture","PCT_M-M",52.883590191,1
"115",9453067,"MOIS211099","Moisture","PCT_M-M",54.588145704,1
"116",9454088,"MOIS211099","Moisture","PCT_M-M",82.137936624,1
"117",9454090,"MOIS040493","Moisture","PCT_M-M",35.345856203,1
"118",9454091,"MOIS040493","Moisture","PCT_M-M",34.753721331,1
"119",9455537,"MOIS040493","Moisture","PCT_M-M",34.762064343,1
"120",9455538,"MOIS040493","Moisture","PCT_M-M",35.159239908,1
"121",9455569,"MOIS040493","Moisture","PCT_M-M",34.749539286,1
"122",9455569,"MOIS040493","Moisture","PCT_M-M",34.768533506,2
"123",9455577,"MOIS040493","Moisture","PCT_M-M",33.36974331,1
"124",9455577,"MOIS040493","Moisture","PCT_M-M",33.245373659,2
"125",9457587,"MOIS211099","Moisture","G_P_100G",72.358542689,1
"126",9457607,"MOIS211099","Moisture","G_P_100G",69.85081135,1
"127",9457630,"MOIS211099","Moisture","G_P_100G",78.266542404,1
"128",9457676,"MOIS211099","Moisture","G_P_100G",75.837747061,1
"129",9457858,"MOIS040493","Moisture","PCT_M-M",35.6545961,1
"130",9457859,"MOIS040493","Moisture","PCT_M-M",35.629390418,1
"131",9458658,"MOIS040493","Moisture","PCT_M-M",45.608469142,1
"132",9458658,"MOIS040493","Moisture","PCT_M-M",45.643736617,2
"133",9458667,"MOIS040493","Moisture","PCT_M-M",46.183691435,1
"134",9458667,"MOIS040493","Moisture","PCT_M-M",46.000066197,2
"135",9458668,"MOIS211099","Moisture","PCT_M-M",53.951807229,1
"136",9458685,"MOIS040493","Moisture","PCT_M-M",33.85893237,1
"137",9458685,"MOIS040493","Moisture","PCT_M-M",33.868641846,2
"138",9458696,"MOIS040493","Moisture","PCT_M-M",33.2045424,1
"139",9458696,"MOIS040493","Moisture","PCT_M-M",33.01286346,2
"140",9458792,"MOIS040493","Moisture","PCT_M-M",45.67543542,1
"141",9458792,"MOIS040493","Moisture","PCT_M-M",45.647281386,2
"142",9458805,"MOIS040493","Moisture","PCT_M-M",45.714002249,1
"143",9458805,"MOIS040493","Moisture","PCT_M-M",45.771613251,2
"144",9458810,"MOIS040493","Moisture","PCT_M-M",45.744258389,1
"145",9458810,"MOIS040493","Moisture","PCT_M-M",45.852858482,2
"146",9458897,"MOIS040493","Moisture","PCT_M-M",34.36907176,1
"147",9458897,"MOIS040493","Moisture","PCT_M-M",34.345293881,2
"148",9458906,"MOIS040493","Moisture","PCT_M-M",32.955329849,1
"149",9458906,"MOIS040493","Moisture","PCT_M-M",32.970254155,2
"150",9458913,"MOIS211099","Moisture","PCT_M-M",40.739525575,1
"151",9458913,"MOIS211099","Moisture","PCT_M-M",40.370406856,2
"152",9458921,"MOIS211099","Moisture","PCT_M-M",46.600879374,1
"153",9458921,"MOIS211099","Moisture","PCT_M-M",46.680511389,2
"154",9459577,"MOIS040493","Moisture","PCT_M-M",33.649383371,1
"155",9459577,"MOIS040493","Moisture","PCT_M-M",33.665819154,2
"156",9459586,"MOIS040493","Moisture","PCT_M-M",33.743133665,1
"157",9459586,"MOIS040493","Moisture","PCT_M-M",33.668308703,2
"158",9459850,"MOIS040493","Moisture","PCT_M-M",45.738636364,1
"159",9459850,"MOIS040493","Moisture","PCT_M-M",45.787663527,2
"160",9460549,"MOIS040493","Moisture","PCT_M-M",34.032315745,1
"161",9460715,"MOIS211099","Moisture","PCT_M-M",75.259934035,1
"162",9461904,"MOIS211099","Moisture","PCT_M-M",48.939004972,2
"163",9462005,"MOIS040493","Moisture","PCT_M-M",46.063435307,1
"164",9462005,"MOIS040493","Moisture","PCT_M-M",46.035147878,2
"165",9462011,"MOIS040493","Moisture","PCT_M-M",45.692660094,1
"166",9462011,"MOIS040493","Moisture","PCT_M-M",45.494186047,2
"167",9462244,"MOIS211099","Moisture","PCT_M-M",53.735686721,1
"168",9462244,"MOIS211099","Moisture","PCT_M-M",53.731541397,2
"169",9462249,"MOIS211099","Moisture","PCT_M-M",48.388468964,1
"170",9462249,"MOIS211099","Moisture","PCT_M-M",48.289416703,2
"171",9464279,"MOIS040493","Moisture","PCT_M-M",36.854080791,1
"172",9464279,"MOIS040493","Moisture","PCT_M-M",36.862408916,2
"173",9464281,"MOIS040493","Moisture","PCT_M-M",36.935199111,1
"174",9464281,"MOIS040493","Moisture","PCT_M-M",36.827213893,2
"175",9464284,"MOIS040493","Moisture","PCT_M-M",36.989490488,1
"176",9464284,"MOIS040493","Moisture","PCT_M-M",37.080704657,2
"177",9464964,"MOIS211099","Moisture","PCT_M-M",76.057819449,1
"178",9465733,"MOIS211099","Moisture","G_P_100G",77.479189287,1
"179",9465754,"MOIS211099","Moisture","G_P_100G",76.249398942,1
"180",9466025,"MOIS040493","Moisture","PCT_M-M",38.343081855,1
"181",9466025,"MOIS040493","Moisture","PCT_M-M",38.500999334,2
"182",9466035,"MOIS040493","Moisture","PCT_M-M",37.030823382,1
"183",9466035,"MOIS040493","Moisture","PCT_M-M",37.148261216,2
"184",9466043,"MOIS040493","Moisture","PCT_M-M",43.79026956,1
"185",9466043,"MOIS040493","Moisture","PCT_M-M",43.843953705,2
"186",9466050,"MOIS040493","Moisture","PCT_M-M",40.874796424,1
"187",9466050,"MOIS040493","Moisture","PCT_M-M",40.848496967,2
"188",9466058,"MOIS040493","Moisture","PCT_M-M",47.341422512,1
"189",9466058,"MOIS040493","Moisture","PCT_M-M",47.817805655,2
"190",9466058,"MOIS040493","Moisture","PCT_M-M",48.403469322,3
"191",9466058,"MOIS040493","Moisture","PCT_M-M",48.374944347,4
"192",9466065,"MOIS040493","Moisture","PCT_M-M",50.495996938,3
"193",9466065,"MOIS040493","Moisture","PCT_M-M",49.912602392,4
"194",9466065,"MOIS040493","Moisture","PCT_M-M",48.845670437,1
"195",9466065,"MOIS040493","Moisture","PCT_M-M",49.233837461,2
"196",9466065,"MOIS040493","Moisture","PCT_M-M",49.594989014,5
"197",9466065,"MOIS040493","Moisture","PCT_M-M",50.133035509,6
"198",9466350,"MOIS040493","Moisture","PCT_M-M",35.285221108,1
"199",9466354,"MOIS040493","Moisture","PCT_M-M",35.933767994,1
"200",9467051,"MOIS211099","Moisture","PCT_M-M",46.862406448,1
"201",9467073,"MOIS040493","Moisture","PCT_M-M",37.330122707,1
"202",9467074,"MOIS040493","Moisture","PCT_M-M",37.214596806,1
"203",9467173,"MOIS211099","Moisture","PCT_M-M",48.171190265,1
"204",9467444,"MOIS040493","Moisture","PCT_M-M",4.7494096038,1
"205",9467664,"MOIS211099","Moisture","PCT_M-M",54.364860032,1
"206",9468218,"MOIS040493","Moisture","G_P_100G",25.843895931,1
"207",9468218,"MOIS080693","Moisture","PCT_M-M",25.97360892,1
"208",9469463,"MOIS291100","Moisture","PCT_M-M",73.269399417,1
"209",9469463,"MOIS291100","Moisture","PCT_M-M",73.156108317,2
"210",9469464,"MOIS291100","Moisture","PCT_M-M",72.764946243,2
"211",9469464,"MOIS291100","Moisture","PCT_M-M",72.809730566,1
"212",9469465,"MOIS291100","Moisture","PCT_M-M",54.229808695,1
"213",9469465,"MOIS291100","Moisture","PCT_M-M",53.640783939,2
"214",9469465,"MOIS291100","Moisture","PCT_M-M",53.751442863,3
"215",9469465,"MOIS291100","Moisture","PCT_M-M",54.09534381,4
"216",9469466,"MOIS291100","Moisture","PCT_M-M",61.566860465,2
"217",9469466,"MOIS291100","Moisture","PCT_M-M",61.907042169,1
"218",9469490,"MOIS211099","Moisture","PCT_M-M",52.244763318,1
"219",9469490,"MOIS211099","Moisture","PCT_M-M",52.311113976,2
"220",9469492,"MOIS211099","Moisture","PCT_M-M",48.212731668,1
"221",9469492,"MOIS211099","Moisture","PCT_M-M",48.22713258,2
"222",9469501,"MOIS211099","Moisture","PCT_M-M",47.684763132,1
"223",9469501,"MOIS211099","Moisture","PCT_M-M",47.591959349,2
"224",9469508,"MOIS211099","Moisture","PCT_M-M",40.923938404,1
"225",9469508,"MOIS211099","Moisture","PCT_M-M",40.951961216,2
"226",9470074,"MOIS211099","Moisture","PCT_M-M",43.133704277,1
"227",9470283,"MOIS211099","Moisture","PCT_M-M",75.374023567,1
"228",9471550,"MOIS040493","Moisture","PCT_M-M",46.332541873,1
"229",9473317,"MOIS040493","Moisture","PCT_M-M",46.904197462,1
"230",9473318,"MOIS040493","Moisture","PCT_M-M",48.405535499,1
"231",9473321,"MOIS040493","Moisture","PCT_M-M",47.889761256,1
"232",9473556,"MOIS040493","Moisture","PCT_M-M",32.332703724,1
"233",9473559,"MOIS040493","Moisture","PCT_M-M",33.632240775,1
"234",9473560,"MOIS040493","Moisture","PCT_M-M",34.458691771,1
"235",9473561,"MOIS040493","Moisture","PCT_M-M",32.979253112,1
"236",9473645,"MOIS040493","Moisture","PCT_M-M",36.931603043,1
"237",9473862,"MOIS040493","Moisture","PCT_M-M",39.276307125,1
"238",9473862,"MOIS040493","Moisture","PCT_M-M",39.257787045,2
"239",9473864,"MOIS040493","Moisture","PCT_M-M",40.694830094,1
"240",9473864,"MOIS040493","Moisture","PCT_M-M",40.706702057,2
"241",9473866,"MOIS040493","Moisture","PCT_M-M",35.194495898,1
"242",9473866,"MOIS040493","Moisture","PCT_M-M",35.306372144,2
"243",9473869,"MOIS040493","Moisture","PCT_M-M",35.325027265,1
"244",9473869,"MOIS040493","Moisture","PCT_M-M",35.26719568,2
"245",9474615,"MOIS211099","Moisture","PCT_M-M",53.287861731,1
"246",9474676,"MOIS211099","Moisture","PCT_M-M",53.377569186,1
"247",9475436,"MOIS040493","Moisture","PCT_M-M",36.028852199,1
"248",9475437,"MOIS040493","Moisture","PCT_M-M",36.246897236,1
"249",9476420,"MOIS211099","Moisture","PCT_M-M",49.247070156,1
"250",9476420,"MOIS211099","Moisture","PCT_M-M",49.193986597,2
"251",9476428,"MOIS211099","Moisture","PCT_M-M",43.573053589,1
"252",9476428,"MOIS211099","Moisture","PCT_M-M",43.71240423,2
"253",9476902,"MOIS211099","Moisture","PCT_M-M",46.512085533,1
"254",9477002,"MOIS040493","Moisture","PCT_M-M",35.911255125,1
"255",9477009,"MOIS211099","Moisture","PCT_M-M",27.693166152,1
"256",9477010,"MOIS040493","Moisture","PCT_M-M",35.811895789,1
"257",9477859,"MOIS040493","Moisture","PCT_M-M",43.194270249,1
"258",9477859,"MOIS040493","Moisture","PCT_M-M",43.33811823,2
"259",9477865,"MOIS040493","Moisture","PCT_M-M",48.985767491,1
"260",9477865,"MOIS040493","Moisture","PCT_M-M",49.067633324,2
"261",9477881,"MOIS040493","Moisture","PCT_M-M",49.59177699,1
"262",9477881,"MOIS040493","Moisture","PCT_M-M",49.819673758,2
"263",9477890,"MOIS040493","Moisture","PCT_M-M",49.652054004,1
"264",9477890,"MOIS040493","Moisture","PCT_M-M",49.988650734,2
"265",9478277,"MOIS211099","Moisture","PCT_M-M",53.400222965,1
"266",9478294,"MOIS211099","Moisture","PCT_M-M",52.989039391,1
"267",9478302,"MOIS211099","Moisture","PCT_M-M",52.55389678,1
"268",9478946,"MOIS080693","Moisture","G_P_100G",22.32315166,1
"269",9478964,"MOIS080693","Moisture","G_P_100G",21.96866823,1
"270",9478992,"MOIS080693","Moisture","G_P_100G",25.49823181,1
"271",9479355,"MOIS211099","Moisture","G_P_100G",51.413216561,1
"272",9479363,"MOIS211099","Moisture","G_P_100G",50.672824534,1
"273",9479377,"MOIS211099","Moisture","G_P_100G",49.960191083,1
"274",9479806,"MOIS211099","Moisture","PCT_M-M",49.897225077,1
"275",9479806,"MOIS211099","Moisture","PCT_M-M",49.909326425,2
"276",9479807,"MOIS211099","Moisture","PCT_M-M",43.492617282,1
"277",9479807,"MOIS211099","Moisture","PCT_M-M",43.446409715,2
"278",9479993,"MOIS040493","Moisture","PCT_M-M",34.952721441,1
"279",9479995,"MOIS040493","Moisture","PCT_M-M",35.872219435,1
"280",9479996,"MOIS040493","Moisture","PCT_M-M",32.842002884,1
"281",9479996,"MOIS040493","Moisture","PCT_M-M",33.04460665,2
"282",9479999,"MOIS040493","Moisture","PCT_M-M",45.86197779,1
"283",9479999,"MOIS040493","Moisture","PCT_M-M",46.051906814,2
"284",9480000,"MOIS040493","Moisture","PCT_M-M",42.965371484,1
"285",9480000,"MOIS040493","Moisture","PCT_M-M",43.033970345,2
"286",9480001,"MOIS040493","Moisture","PCT_M-M",43.242346854,1
"287",9480001,"MOIS040493","Moisture","PCT_M-M",43.261482015,2
"288",9480192,"MOIS040493","Moisture","PCT_M-M",33.71783496,1
"289",9480193,"MOIS040493","Moisture","PCT_M-M",34.049871023,1
"290",9480194,"MOIS040493","Moisture","PCT_M-M",33.965573238,1
"291",9480942,"MOIS040493","Moisture","PCT_M-M",46.264358412,1
"292",9480942,"MOIS040493","Moisture","PCT_M-M",46.419542306,2
"293",9480943,"MOIS040493","Moisture","PCT_M-M",45.10582872,1
"294",9480943,"MOIS040493","Moisture","PCT_M-M",45.134188639,2
"295",9480945,"MOIS040493","Moisture","PCT_M-M",35.631884247,1
"296",9480945,"MOIS040493","Moisture","PCT_M-M",35.701256587,2
"297",9480946,"MOIS040493","Moisture","PCT_M-M",35.640336134,1
"298",9480946,"MOIS040493","Moisture","PCT_M-M",35.691849357,2
"299",9481217,"MOIS040493","Moisture","PCT_M-M",33.160249502,1
"300",9481218,"MOIS040493","Moisture","PCT_M-M",34.114634627,1
"301",9481219,"MOIS040493","Moisture","PCT_M-M",35.759062415,1
"302",9481220,"MOIS040493","Moisture","PCT_M-M",34.256396764,1
"303",9481221,"MOIS040493","Moisture","PCT_M-M",33.555193184,1
"304",9481222,"MOIS040493","Moisture","PCT_M-M",32.45405757,1
"305",9481223,"MOIS040493","Moisture","PCT_M-M",32.531128665,1
"306",9481460,"MOIS040493","Moisture","PCT_M-M",36.025525975,1
"307",9481461,"MOIS040493","Moisture","PCT_M-M",35.010496151,1
"308",9481942,"MOIS040493","Moisture","PCT_M-M",45.554510364,1
"309",9481942,"MOIS040493","Moisture","PCT_M-M",45.438909837,2
"310",9482124,"MOIS040493","Moisture","PCT_M-M",36.109702073,1
"311",9482124,"MOIS040493","Moisture","PCT_M-M",36.120015387,2
"312",9482264,"MOIS211099","Moisture","PCT_M-M",53.006002165,1
"313",9482576,"MOIS211099","Moisture","PCT_M-M",56.845335248,1
"314",9482577,"MOIS211099","Moisture","PCT_M-M",54.502324997,1
"315",9482578,"MOIS211099","Moisture","PCT_M-M",54.419907713,1
"316",9482579,"MOIS211099","Moisture","PCT_M-M",55.551325974,1
"317",9482580,"MOIS211099","Moisture","PCT_M-M",55.237354612,1
"318",9482581,"MOIS211099","Moisture","PCT_M-M",54.803845658,1
"319",9483010,"MOIS040493","Moisture","PCT_M-M",41.799083397,1
"320",9484194,"MOIS211099","Moisture","PCT_M-M",52.496727749,1
"321",9484194,"MOIS211099","Moisture","PCT_M-M",52.552502421,2
"322",9484197,"MOIS211099","Moisture","PCT_M-M",44.50887199,1
"323",9484197,"MOIS211099","Moisture","PCT_M-M",44.184410768,2
"324",9484199,"MOIS040493","Moisture","PCT_M-M",35.383024156,1
"325",9484200,"MOIS040493","Moisture","PCT_M-M",35.259880888,1
"326",9484201,"MOIS040493","Moisture","PCT_M-M",34.477691691,1
"327",9484203,"MOIS040493","Moisture","PCT_M-M",34.950104433,1
"328",9484205,"MOIS040493","Moisture","PCT_M-M",34.151134986,1
"329",9484570,"MOIS040493","Moisture","PCT_M-M",36.575066803,1
"330",9485111,"MOIS040493","Moisture","PCT_M-M",35.224523612,1
"331",9485112,"MOIS040493","Moisture","PCT_M-M",37.017451084,1
"332",9485376,"MOIS211099","Moisture","PCT_M-M",76.771217712,1
"333",9485526,"MOIS040493","Moisture","PCT_M-M",33.832483133,1
"334",9485526,"MOIS040493","Moisture","PCT_M-M",33.91574837,2
"335",9485784,"MOIS211099","Moisture","PCT_M-M",54.628838188,1
"336",9488025,"MOIS211099","Moisture","PCT_M-M",53.013128402,1
"337",9489170,"MOIS040493","Moisture","PCT_M-M",45.114083933,1
"338",9489170,"MOIS040493","Moisture","PCT_M-M",45.036615134,2
"339",9489676,"MOIS211099","Moisture","G_P_100G",49.586460163,1
"340",9489677,"MOIS211099","Moisture","G_P_100G",50.827943079,1
"341",9489678,"MOIS211099","Moisture","G_P_100G",47.875811817,1
"342",9489679,"MOIS211099","Moisture","PCT_M-M",76.85846406,1
"343",9489719,"MOIS211099","Moisture","G_P_100G",55.845168839,1
"344",9489721,"MOIS211099","Moisture","G_P_100G",52.971818682,1
"345",9489723,"MOIS211099","Moisture","G_P_100G",53.23560141,1
"346",9489746,"MOIS211099","Moisture","G_P_100G",44.212925281,1
"347",9489747,"MOIS211099","Moisture","G_P_100G",43.900952625,1
"348",9489749,"MOIS211099","Moisture","G_P_100G",44.080556526,1
"349",9489793,"MOIS211099","Moisture","G_P_100G",50.529082923,1
"350",9489794,"MOIS211099","Moisture","G_P_100G",50.464970154,1
"351",9489909,"MOIS040493","Moisture","PCT_M-M",39.890905549,1
"352",9489910,"MOIS040493","Moisture","PCT_M-M",39.482707946,1
"353",9490017,"MOIS211099","Moisture","PCT_M-M",49.902304542,1
"354",9490400,"MOIS211099","Moisture","PCT_M-M",53.67836294,1
"355",9490400,"MOIS211099","Moisture","PCT_M-M",53.601267278,2
"356",9490407,"MOIS211099","Moisture","PCT_M-M",47.967084589,1
"357",9490407,"MOIS211099","Moisture","PCT_M-M",47.898226475,2
"358",9490746,"MOIS211099","Moisture","PCT_M-M",47.907679034,1
"359",9491197,"MOIS040493","Moisture","PCT_M-M",46.802915821,1
"360",9491197,"MOIS040493","Moisture","PCT_M-M",46.844547564,2
"361",9492703,"MOIS211099","Moisture","PCT_M-M",55.12468126,1
"362",9493116,"MOIS040493","Moisture","PCT_M-M",37.036790411,1
"363",9493309,"MOIS211099","Moisture","PCT_M-M",53.396928052,1
"364",9494146,"MOIS211099","Moisture","PCT_M-M",76.731986735,1
"365",9494277,"MOIS211099","Moisture","G_P_100G",37.547929448,1
"366",9494279,"MOIS211099","Moisture","G_P_100G",38.690759233,1
"367",9494280,"MOIS211099","Moisture","G_P_100G",38.024598629,1
"368",9494322,"MOIS211099","Moisture","G_P_100G",43.228418441,1
"369",9494324,"MOIS211099","Moisture","G_P_100G",43.507848361,1
"370",9494325,"MOIS211099","Moisture","G_P_100G",41.422851863,1
"371",9496060,"MOIS211099","Moisture","PCT_M-M",47.494735435,1
"372",9496060,"MOIS211099","Moisture","PCT_M-M",47.559412287,2
"373",9496066,"MOIS211099","Moisture","PCT_M-M",54.09790383,1
"374",9496066,"MOIS211099","Moisture","PCT_M-M",54.018582687,2
"375",9496250,"MOIS211099","Moisture","PCT_M-M",15.661833565,1
"376",9496554,"MOIS211099","Moisture","PCT_M-M",17.144155144,1
"377",9496556,"MOIS211099","Moisture","PCT_M-M",47.609166098,1
"378",9496557,"MOIS211099","Moisture","PCT_M-M",47.40464815,1
"379",9496558,"MOIS211099","Moisture","PCT_M-M",40.459045905,1
"380",9496684,"MOIS211099","Moisture","PCT_M-M",27.849731122,1
"381",9496857,"MOIS211099","Moisture","PCT_M-M",46.311983125,1
"382",9496926,"MOIS211099","Moisture","PCT_M-M",62.914425428,1
"383",9498378,"MOIS040493","Moisture","PCT_M-M",36.526669744,1
"384",9498379,"MOIS040493","Moisture","PCT_M-M",35.998693451,1
"385",9498619,"MOIS040493","Moisture","PCT_M-M",35.393537697,1
"386",9498619,"MOIS040493","Moisture","PCT_M-M",35.206739116,2
"387",9500068,"MOIS211099","Moisture","G_P_100G",48.440241763,1
