"SAMPLE_NUMBER","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","PRODUCT","CUSTOMER","X_CLIENT_CODE","DESCRIPTION","NAME","LAB"
"8170260","03/01/2016 09:55:27 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF01JAN16W1","Instant Full Cream Milk Powder 25kg 3393","MG16000499","CHEMISTRY"
"8170272","03/01/2016 09:59:58 AM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF01JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16000500","CHEMISTRY"
"8170281","03/01/2016 10:02:55 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS01JAN16J2","MH SMP 25Kg                         4442","MG16000502","CHEMISTRY"
"8170637","03/01/2016 12:49:05 PM","T","SOLI030693","Insolubility Index","ML","1.4","PDR_WHEY","MG20","CCW31DEC15J2","Ezy Cal - Mineral Whey Powder 25kg  2291","MG16000571","CHEMISTRY"
"8170637","03/01/2016 12:49:05 PM","T","SOLI030693","Insolubility Index","ML","2.3","PDR_WHEY","MG20","CCW31DEC15J2","Ezy Cal - Mineral Whey Powder 25kg  2291","MG16000571","CHEMISTRY"
"8170637","03/01/2016 12:49:05 PM","T","SOLI030693","Insolubility Index","ML","1.4","PDR_WHEY","MG20","CCW31DEC15J2","Ezy Cal - Mineral Whey Powder 25kg  2291","MG16000571","CHEMISTRY"
"8170839","03/01/2016 04:46:14 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS02JAN16J1","MH SMP 25Kg                         4442","MG16000604","CHEMISTRY"
"8170948","03/01/2016 05:58:24 PM","T","SOLI030693","Insolubility Index","ML","0.2","PDR_FCMP","MG40","RIF02JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16000609","CHEMISTRY"
"8170957","03/01/2016 06:01:23 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF02JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16000611","CHEMISTRY"
"8171146","04/01/2016 06:26:24 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC03JAN16J1","WPC 35% 25Kg                        2404","MG16000620","CHEMISTRY"
"8171397","04/01/2016 08:46:17 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS02JAN16J3","MH SMP 25Kg                         4442","MG16000683","CHEMISTRY"
"8171539","04/01/2016 09:03:29 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RPF03JAN16J6","FCMP 26% 25Kg                       3037","MG16000690","CHEMISTRY"
"8173060","04/01/2016 01:19:07 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF31DEC15X4","IFCMP INT.Bag Kg                    3393","MG16000865","CHEMISTRY"
"8173268","04/01/2016 01:39:32 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF02JAN16W1","TDP FCMP 26% 25KG                   3244","MG16000886","CHEMISTRY"
"8173286","04/01/2016 01:44:24 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF01JAN16W1","TDP FCMP 26% 25KG                   3244","MG16000887","CHEMISTRY"
"8173315","04/01/2016 01:49:10 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF02JAN16X4","IFCMP INT.Bag Kg                    3393","MG16000888","CHEMISTRY"
"8173336","04/01/2016 01:55:10 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF02JAN16W1","Instant Full Cream Milk Powder 25kg 3393","MG16000891","CHEMISTRY"
"8173696","04/01/2016 02:58:56 PM","T","SOLI030693","Insolubility Index","ML","0.4","PDR_FCMP","L11MP","26% Fat FCMP BATCH 160101","26% Fat FCMP BATCH 160101 DOM :  01/01/2016","DTS16000261","CHEMISTRY"
"8173699","04/01/2016 02:59:34 PM","T","SOLI030693","Insolubility Index","ML","0.8","PDR_FCMP","L11MP","26% Fat FCMP BATCH 160102","26% Fat FCMP BATCH 160102 DOM :  02/01/2016","DTS16000263","CHEMISTRY"
"8173736","04/01/2016 03:02:05 PM","T","SOLI030693","Insolubility Index","","","PDR_FCMP","L11MP","26% Fat FCMP BATCH 151228","26% Fat FCMP BATCH 151228 DOM :  28/12/2015","DTS16000268","CHEMISTRY"
"8173764","04/01/2016 03:10:08 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS02JAN16J2","MH SMP 25Kg                         4442","MG16000931","CHEMISTRY"
"8173797","04/01/2016 03:18:57 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS03JAN16J1","MH SMP 25Kg                         4442","MG16000937","CHEMISTRY"
"8173858","04/01/2016 03:30:13 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS03JAN16J2","MH SMP 25Kg                         4442","MG16000940","CHEMISTRY"
"8173888","04/01/2016 03:38:05 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS03JAN16J3","MH SMP 25Kg                         4442","MG16000943","CHEMISTRY"
"8174159","04/01/2016 04:42:19 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS04JAN16J1","MH SMP 25Kg                         4442","MG16000969","CHEMISTRY"
"8176405","05/01/2016 11:28:04 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM02JAN16J2","BMP 25Kg                            2000","MG16001197","CHEMISTRY"
"8177253","05/01/2016 01:20:55 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC04JAN16J1","WPC 35% 25Kg                        2404","MG16001278","CHEMISTRY"
"8177767","05/01/2016 02:13:07 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF03JAN16X4","IFCMP INT.Bag Kg                    3393","MG16001287","CHEMISTRY"
"8177790","05/01/2016 02:18:18 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS04JAN16J2","MH SMP 25Kg                         4442","MG16001289","CHEMISTRY"
"8177825","05/01/2016 02:26:24 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM04JAN16J2","BMP 25Kg                            2036","MG16001294","CHEMISTRY"
"8177864","05/01/2016 02:33:05 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS04JAN16J3","MH SMP 25Kg                         4442","MG16001295","CHEMISTRY"
"8177941","05/01/2016 02:53:28 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF31DEC15W5","Instant Full Cream Milk Powder 25kg 3393","MG16001301","CHEMISTRY"
"8178065","05/01/2016 03:14:33 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF31DEC15W1","Instant Full Cream Milk Powder 25kg 3393","MG16001315","CHEMISTRY"
"8178225","05/01/2016 03:59:47 PM","T","SOLI030693","Insolubility Index","ML","0.6","PDR_FCMP","MG40","RIF03JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16001323","CHEMISTRY"
"8178237","05/01/2016 04:02:53 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF03JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16001326","CHEMISTRY"
"8178377","05/01/2016 04:35:19 PM","T","SOLI030693","Insolubility Index","","","PDR_FCMP","MGTDP","XPF03JAN15W1","TDP FCMP 26% 25KG                   3003","MG16001340","CHEMISTRY"
"8178392","05/01/2016 04:40:58 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF03JAN16W1","TDP FCMP 26% 25KG                   3003","MG16001341","CHEMISTRY"
"8178413","05/01/2016 04:46:26 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XIF04JAN16W1","TDP Instant Milk Powder F/C 25kg    3393","MG16001342","CHEMISTRY"
"8178437","05/01/2016 04:52:52 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF19DEC15W1","TDP FCMP 26% 25KG                   3244","MG16001344","CHEMISTRY"
"8178752","05/01/2016 06:22:07 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF04JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16001421","CHEMISTRY"
"8178789","05/01/2016 06:28:49 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF04JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16001437","CHEMISTRY"
"8179613","06/01/2016 08:37:21 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS05JAN16J1","MH SMP 25Kg                         4442","MG16001504","CHEMISTRY"
"8179647","06/01/2016 08:48:05 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS05JAN16J3","MH SMP 25Kg                         4442","MG16001507","CHEMISTRY"
"8179705","06/01/2016 08:59:19 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS05JAN16J4","MH SMP 25Kg                         4301","MG16001510","CHEMISTRY"
"8180367","06/01/2016 10:22:44 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS05JAN16J2","MH SMP 25Kg                         4442","MG16001527","CHEMISTRY"
"8180541","06/01/2016 10:37:29 AM","T","SOLI030693","Insolubility Index","ML","0.6","PDR_FCMP","L11MP","26% Fat FCMP BATCH 151226- pallet 1","26% Fat FCMP BATCH 151226- pallet 1 DOM :  26/12/2015","DTS16000809","CHEMISTRY"
"8180544","06/01/2016 10:37:35 AM","T","SOLI030693","Insolubility Index","ML","0.3","PDR_FCMP","L11MP","26% Fat FCMP BATCH 151226- pallet 10","26% Fat FCMP BATCH 151226- pallet 10","DTS16000809","CHEMISTRY"
"8180548","06/01/2016 10:37:41 AM","T","SOLI030693","Insolubility Index","ML","0.5","PDR_FCMP","L11MP","26% Fat FCMP BATCH 151226- pallet 20","26% Fat FCMP BATCH 151226- pallet 20","DTS16000809","CHEMISTRY"
"8180552","06/01/2016 10:37:47 AM","T","SOLI030693","Insolubility Index","ML","1.6","PDR_FCMP","L11MP","26% Fat FCMP BATCH 151226- pallet 30","26% Fat FCMP BATCH 151226- pallet 30","DTS16000809","CHEMISTRY"
"8180555","06/01/2016 10:38:10 AM","T","SOLI030693","Insolubility Index","ML","1.4","PDR_FCMP","L11MP","26% Fat FCMP BATCH 151226- pallet 34","26% Fat FCMP BATCH 151226- pallet 34","DTS16000809","CHEMISTRY"
"8180599","06/01/2016 10:43:04 AM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG70","KIF03JAN16W1","Instant Full Cream Milk Powder 25kg 3393","MG16001547","CHEMISTRY"
"8181565","06/01/2016 12:54:44 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM05JAN16J2","BMP 25Kg                            2036","MG16001630","CHEMISTRY"
"8182361","06/01/2016 02:55:03 PM","T","SOLI030693","Insolubility Index","ML","1.5","PDR_WHEY","MG20","CCW03JAN16J0","Ezy Cal - Mineral Whey Powder 25kg  2291","MG16001676","CHEMISTRY"
"8182665","06/01/2016 04:05:12 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XIF05JAN16W1","TDP Instant Milk Powder F/C 25kg    3393","MG16001694","CHEMISTRY"
"8182696","06/01/2016 04:12:24 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF05JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16001696","CHEMISTRY"
"8182881","06/01/2016 04:41:43 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF05JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16001716","CHEMISTRY"
"8182896","06/01/2016 04:45:14 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC05JAN16J0","WPC 35% 25Kg                        2404","MG16001719","CHEMISTRY"
"8183032","06/01/2016 05:27:52 PM","T","SOLI030693","Insolubility Index","ML","0.2","PDR_FCMP","DAIBEST","6B2583 - WMP26-25-01","6B2583 - WMP26-25-01","DTS16001014","CHEMISTRY"
"8183042","06/01/2016 05:28:52 PM","T","SOLI030693","Insolubility Index","","","PDR_FCMP","DAIBEST","6B2583 - WMP26-25-01","6B2583 - WMP26-25-01","DTS16001016","CHEMISTRY"
"8183189","06/01/2016 06:26:49 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS06JAN16J1","MH SMP 25Kg                         4442","MG16001755","CHEMISTRY"
"8183247","06/01/2016 06:38:37 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM06JAN16J2","BMP 25Kg                            2036","MG16001758","CHEMISTRY"
"8183834","07/01/2016 07:15:14 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC06JAN16J1","WPC 35% 25Kg                        2404","MG16001777","CHEMISTRY"
"8184208","07/01/2016 08:49:29 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS06JAN16J3","MH SMP 25Kg                         4442","MG16001805","CHEMISTRY"
"8184484","07/01/2016 09:29:51 AM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_WPC","MG40","RPC06JAN16J1","WPC 35% 25Kg                        2404","MG16001856","CHEMISTRY"
"8185310","07/01/2016 11:15:43 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF05JAN16W1","Instant Full Cream Milk Powder 25kg 3393","MG16001931","CHEMISTRY"
"8185347","07/01/2016 11:21:03 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS06JAN16J2","MH SMP 25Kg                         4442","MG16001933","CHEMISTRY"
"8185403","07/01/2016 11:38:07 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KIS06JAN16Q4","Instant SMP Blk Bag                C4900","MG16001939","CHEMISTRY"
"8185689","07/01/2016 12:18:46 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF07DEC15W1","TDP FCMP 26% 25KG                   3244","MG16002004","CHEMISTRY"
"8185706","07/01/2016 12:21:18 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF08DEC15W1","TDP FCMP 26% 25KG                   3244","MG16002005","CHEMISTRY"
"8185716","07/01/2016 12:23:41 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF09DEC15W1","TDP FCMP 26% 25KG                   3244","MG16002006","CHEMISTRY"
"8185725","07/01/2016 12:26:11 PM","T","SOLI030693","Insolubility Index","ML","0.2","PDR_FCMP","MGTDP","XPF10DEC15W1","TDP FCMP 26% 25KG                   3244","MG16002007","CHEMISTRY"
"8185752","07/01/2016 12:28:40 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MGTDP","XPF06DEC15W1","TDP FCMP 26% 25KG                   3244","MG16002008","CHEMISTRY"
"8186205","07/01/2016 01:53:27 PM","T","SOLI030693","Insolubility Index","ML","0.2","PDR_FCMP","MGTDP","XIF06JAN16W1","TDP Instant Milk Powder F/C 25kg    3393","MG16002034","CHEMISTRY"
"8187227","07/01/2016 04:43:05 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF06JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16002134","CHEMISTRY"
"8187240","07/01/2016 04:46:18 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF06JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16002136","CHEMISTRY"
"8187618","07/01/2016 06:30:47 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF04JAN16X4","IFCMP INT.Bag Kg                    3393","MG16002188","CHEMISTRY"
"8187975","08/01/2016 06:49:40 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC07JAN15J1","WPC 35% 25Kg                        2404","MG16002203","CHEMISTRY"
"8189180","08/01/2016 10:33:10 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF07JAN16W1","Instant Full Cream Milk Powder 25kg 3393","MG16002267","CHEMISTRY"
"8189598","08/01/2016 11:29:10 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS07JAN16J1","MH SMP 25Kg                         4442","MG16002344","CHEMISTRY"
"8189675","08/01/2016 11:41:27 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS07JAN16J3","MH SMP 25Kg                         4442","MG16002347","CHEMISTRY"
"8190607","08/01/2016 02:06:30 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MGTDP","XIF07JAN16W1","TDP Instant Milk Powder F/C 25kg    3393","MG16002383","CHEMISTRY"
"8190794","08/01/2016 02:52:32 PM","T","SOLI030693","Insolubility Index","","","CASEINATE","ROSSCOT","TB058 SODIUM CASEINATE","TB058 SODIUM CASEINATE BATCH:K337-K344","DTS16001627","CHEMISTRY"
"8190796","08/01/2016 02:52:38 PM","T","SOLI030693","Insolubility Index","","","CASEINATE","ROSSCOT","TB058 SODIUM CASEINATE","TB058 SODIUM CASEINATE BATCH:K345-K352","DTS16001627","CHEMISTRY"
"8190821","08/01/2016 02:58:37 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","DAIBEST","6B2596 - WMP26-25-01","6B2596 - WMP26-25-01","DTS16001635","CHEMISTRY"
"8190825","08/01/2016 02:59:29 PM","T","SOLI030693","Insolubility Index","ML","0.3","PDR_FCMP","DAIBEST","6B2597 - WMP26-25-01","6B2597 - WMP26-25-01","DTS16001636","CHEMISTRY"
"8191203","08/01/2016 03:52:02 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KIS07JAN16Q4","Instant SMP Blk Bag                C4900","MG16002394","CHEMISTRY"
"8191770","08/01/2016 07:20:39 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM08JAN16J2","BMP 25Kg                            2036","MG16002487","CHEMISTRY"
"8192054","09/01/2016 07:02:14 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC08JAN16J1","WPC 35% 25Kg                        2404","MG16002488","CHEMISTRY"
"8192483","09/01/2016 10:14:52 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS08JAN16J3","MH SMP 25Kg                         4442","MG16002532","CHEMISTRY"
"8192524","09/01/2016 10:27:12 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM09JAN16J2","BMP 25Kg                            2036","MG16002535","CHEMISTRY"
"8192732","09/01/2016 11:49:01 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF07JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16002537","CHEMISTRY"
"8192742","09/01/2016 11:52:08 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF07JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16002539","CHEMISTRY"
"8193128","09/01/2016 02:05:29 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KNX08JAN16W4","Filled Milk Base 007 25Kg           3104","MG16002565","CHEMISTRY"
"8193185","09/01/2016 02:27:45 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KIF08JAN16W1","Instant Full Cream Milk Powder 25kg 3393","MG16002569","CHEMISTRY"
"8193215","09/01/2016 02:36:36 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BLEND","MG10","LBM08JAN16J2","Buttermilk Powder Blend 25Kg        2010","MG16002571","CHEMISTRY"
"8193486","09/01/2016 05:01:11 PM","T","SOLI030693","Insolubility Index","ML","2.00","PDR_WHEY","MG20","CCW06JAN16J2","Ezy Cal Mineral Whey Powder 25kg    2291","MG16002647","CHEMISTRY"
"8193544","09/01/2016 06:11:40 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS08JAN16J1","MH SMP 25Kg                         4442","MG16002648","CHEMISTRY"
"8193569","09/01/2016 06:24:23 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MHS09JAN16J2","HH SMP 25Kg                         4654","MG16002651","CHEMISTRY"
"8193578","09/01/2016 06:30:39 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC09JAN16J1","WPC 35% 25Kg                        2404","MG16002652","CHEMISTRY"
"8193613","09/01/2016 06:49:13 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF08JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16002665","CHEMISTRY"
"8193622","09/01/2016 06:52:46 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG40","RIF08JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16002667","CHEMISTRY"
"8194348","10/01/2016 11:15:43 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS09JAN16J3","MH SMP 25Kg                         4442","MG16002822","CHEMISTRY"
"8194428","10/01/2016 11:28:04 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS09JAN16J1","MH SMP 25Kg                         4442","MG16002825","CHEMISTRY"
"8194456","10/01/2016 11:40:29 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_BMP","MG60","MBM10JAN16J2","BMP 25Kg                            2000","MG16002828","CHEMISTRY"
"8195129","10/01/2016 06:56:06 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF09JAN16J5","Instant Full Cream Milk Powder 25kg 3393","MG16002959","CHEMISTRY"
"8195138","10/01/2016 06:59:26 PM","T","SOLI030693","Insolubility Index","ML","0.1","PDR_FCMP","MG40","RIF09JAN16Q5","IFCMP INT.Bag Kg                    3393","MG16002961","CHEMISTRY"
"8195147","10/01/2016 10:15:10 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MGTDP","XIF09JAN16W1","TDP Instant Milk Powder F/C 25kg    3393","MG16002963","CHEMISTRY"
"8195155","10/01/2016 10:21:46 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MGTDP","XIF08JAN16W1","TDP Instant Milk Powder F/C 25kg    3393","MG16002964","CHEMISTRY"
"8195369","11/01/2016 06:36:49 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_WPC","MG20","CPC10JAN16J1","WPC 35% 25Kg                        2404","MG16002978","CHEMISTRY"
"8196757","11/01/2016 11:04:44 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS10JAN16J1","MH SMP 25Kg                         4442","MG16003044","CHEMISTRY"
"8196832","11/01/2016 11:17:40 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG60","MMS10JAN16J3","MH SMP 25Kg                         4442","MG16003047","CHEMISTRY"
"8196907","11/01/2016 11:30:31 AM","T","SOLI030693","Insolubility Index","","","PDR_BMP","MG60","MBM11JAN16J2","BMP 25Kg                            2036","MG16003050","CHEMISTRY"
"8197025","11/01/2016 11:56:04 AM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_FCMP","MG70","KNX09JAN16W4","Filled Milk Base 007 25Kg           3104","MG16003087","CHEMISTRY"
"8197081","11/01/2016 12:12:01 PM","T","SOLI030693","Insolubility Index","ML","<0.1","PDR_SMP","MG70","KMS09JAN16J2","MH SMP 25Kg                         4442","MG16003091","CHEMISTRY"
